,fit_std,fit_mean,fit_best
0,46.591132340547645,-72.56085375210886,-0.35808914938690073
1,3.8648397856128507,-6.169846331273329,-0.26542701482886394
2,0.04786806408468857,-0.3076309583738313,-0.184215604100813
3,0.033522575173391696,-0.21129363006867602,-0.14266545964858054
4,0.027343137874104445,-0.1612428137510993,-0.1015126510360645
5,0.021756068404605335,-0.11294073260411075,-0.0601011891341478
6,0.014500289252724199,-0.08146893051797927,-0.04873797483272931
7,0.008677265978138993,-0.05473316443442324,-0.0378331614056448
8,0.005513875873990005,-0.04034497824692065,-0.02596266591581953
9,0.004601483644224273,-0.031041569097182732,-0.016139167582474762
10,0.003442016841723374,-0.020810674597772284,-0.01416982390407598
11,0.0021243075235979985,-0.015964564210835763,-0.010574550621149084
12,0.0012175326660397443,-0.012066549972833397,-0.00862950267205662
13,0.0016126500859494936,-0.009939179552062164,-0.0067773365846487245
14,0.0009892787485088165,-0.007701136858189512,-0.005395412132712269
15,0.0006896935349592365,-0.005974872159427716,-0.004580403614497398
16,0.0005732629439074414,-0.004924800096313542,-0.0036416324661944816
17,0.0006048816616184091,-0.003990939889864951,-0.0024974966888624927
18,0.0003412772106453576,-0.003084658669115634,-0.0023254622332423295
19,0.0003185573664835357,-0.0024406995148091733,-0.0018341312700111995
