,fit_1_std,fit_1_mean,fit_1_best,fit_2_std,fit_2_mean,fit_2_best
0,0.18371447920799255,-0.9385021328926086,-0.18505752086639404,0.09160088002681732,-0.968691885471344,-0.41485780477523804
1,0.3167302906513214,-0.5311377048492432,-0.07647275924682617,0.24919770658016205,-0.8466584086418152,-0.3156842589378357
2,0.02562754414975643,-0.09066802263259888,-0.024035334587097168,0.008947576396167278,-0.9727818369865417,-0.9542816877365112
3,0.01636562868952751,-0.05180826038122177,-0.009986519813537598,0.0056770616210997105,-0.9719669818878174,-0.9545669555664062
4,0.017535360530018806,-0.02407921478152275,-0.0030725598335266113,0.006084054708480835,-0.9746389985084534,-0.9550855755805969
5,0.010447226464748383,-0.010185117833316326,-8.571147918701172e-05,0.004817560315132141,-0.9765447378158569,-0.9579997062683105
6,0.007840137928724289,-0.006857129279524088,-0.0003491640090942383,0.00369343557395041,-0.9781636595726013,-0.9694787859916687
7,0.008282510563731194,-0.006657005753368139,-0.0002117156982421875,0.0037889033555984497,-0.9782636165618896,-0.9679659008979797
8,0.006318832281976938,-0.0051925303414464,-0.00026613473892211914,0.003290541935712099,-0.9787776470184326,-0.9695467352867126
9,0.00487248320132494,-0.004304686561226845,-0.0005172491073608398,0.0027784451376646757,-0.9783689975738525,-0.971365213394165
10,0.005960044916719198,-0.005693408194929361,-0.0009581446647644043,0.003195954952389002,-0.9773938655853271,-0.9689913988113403
11,0.0076463050208985806,-0.006381028797477484,-0.00017380714416503906,0.0037321706768125296,-0.9772273302078247,-0.9680994749069214
12,0.004296459257602692,-0.004376247059553862,-0.0008254051208496094,0.0031207501888275146,-0.9785654544830322,-0.9716839790344238
13,0.01273425854742527,-0.007330018095672131,-0.0009701848030090332,0.005781183950603008,-0.9776964783668518,-0.9491617679595947
14,0.00936127733439207,-0.006257600616663694,-0.0010055303573608398,0.004402237944304943,-0.9779483079910278,-0.960713267326355
15,0.007816728204488754,-0.006699542980641127,-0.0006194114685058594,0.004557987675070763,-0.9779143333435059,-0.9635222554206848
16,0.010696959681808949,-0.007620713673532009,-0.0009642243385314941,0.004819407127797604,-0.9781321883201599,-0.9637758731842041
17,0.009630906395614147,-0.006795678287744522,-0.0009418129920959473,0.0043890816159546375,-0.9772325158119202,-0.9638893604278564
18,0.007101133465766907,-0.006557983346283436,-0.00041675567626953125,0.004241932183504105,-0.9778866767883301,-0.9687795042991638
19,0.006753039080649614,-0.004693902563303709,-0.00017410516738891602,0.0035543597768992186,-0.9786207675933838,-0.9657369256019592
